title,tags
Aankh Marey,kumarsanu mikasingh nehakakkar bollywooddance simmba 8.8
Coca Cola,nehakakkar tonykakkar bollywooddanceromantic lukachuppi 9.0
Apna Time Aayega,ranveersingh bollywooddance gullyboy 9.7
Mungda,jyoticatangri shaan subhroganguly bollywooddance totaldhamaal 9.1
Tere Bin,aseeskaur rahatfatehalikhan tanishkbagchi bollywoodromantic simmba 9.2
Gali Gali,nehakakkar bollywooddance kgf 9.1
Chamma Chamma,arun ikka nehakakkar romy bollywooddance fraudsaiyaan 9.2
Mere Gully Mein,ranveersingh bollywooddance gullyboy 9.5
Kamariya,darshanraval bollywooddance mitron 9.2
Ek Ladki Ko Dekha Toh Aisa Laga,darshanraval rochakkohli bollywoodromantic ekladkikodekhatohaisalaga 9.6
Swag Se Swagat,nehabhasin vishaldadlani bollywooddance tigerzindahai 8.8
Poster Lagwa Do,mikasingh sunandasharma bollywooddance lukachuppi 8.4
Daaru Wargi,gururandhawa bollywooddance cheatindia 9.1
Dilbar,dhvanibhanushali ikka nehakakkar bollywooddance satyamevajayate 9.2
Proper Patola,aasthagill badshah diljitdosanjh bollywooddance namasteengland 9.0
Doori,ranveersingh bollywooddance gullyboy 9.7
Dil Diyan Gallan,atifaslam bollywoodromantic tigerzindahai 9.1
Husn Parcham,bhoomitrivedi rajakumari bollywooddance zero 9.0
Bom Diggy Diggy,jasminwalia zackknight bollywooddance sonuketitukisweety 9.0
Issaqbaazi,divyakumar sukhwindersingh bollywooddance zero 9.1
Mere Naam Tu,abhayjodhpurkar bollywoodromantic zero 9.2
High Rated Gabru – Nawabzaade,gururandhawa bollywooddance nawabzaade 9.2
Dekhte Dekhte,atifaslam bollywoodromantic battigulmeterchalu 9.5
Zingaat,ajay atul bollywooddance dhadak 8.6
Tareefan,badshah bollywood veerediwedding 9.1
Mile Ho Tum (Reprise),nehakakkar tonykakkar bollywoodromantic fever 9.0
Dil Chori,ishers simarkaur yoyohoneysingh bollywooddance sonuketitukisweety 9.0
Tere Naal Nachna,badshah sunandasharma bollywooddance nawabzaade 9.2
Dil Meri Na Sune,atifaslam bollywoodromantic genius 9.5
Dhadak Title Track,ajaygogavale shreyaghoshal bollywoodromantic dhadak 9.4
Heeriye,deepmoney meetbros nehabhasin bollywooddanceromantic race3 8.7
Chogada,aseeskaur darshanraval bollywooddance loveratri 9.3
Gud Naal Ishq Mitha,harshdeepkaur navrajhans bollywooddance ekladkikodekhatohaisalaga 9.3
Paniyon Sa,atifaslam tulsikumar bollywoodromantic satyamevajayate 9.5
Milegi Milegi,mikasingh bollywooddance stree 9.1
Morni Banke,gururandhawa nehakakkar bollywooddance badhaaiho 9.0
Bhare Bazaar,bpraak badshah payaldev vishaldadlani bollywooddance namasteengland 9.0
Khalibali,shivampathak bollywooddance padmaavat 9.1
Aao Kabhi Haveli Pe,badshah jigar nikhitagandhi sachinsanghvi bollywooddance stree 8.4
Badri Ki Dulhania,devnegi ikka monalithakur nehakakkar bollywooddance badrinathkidulhania 8.4
Cheez Badi,nehakakkar uditnarayan bollywooddance machine 8.8
Dholida,nehakakkar palakmuchchal rajahassan uditnarayan bollywooddance loveratri 9.2
Sweetheart,devnegi bollywooddance kedarnath 9.2
Namo Namo,amittrivedi bollywooddevotional kedarnath 9.6
Qaafirana,arijitsingh nikhitagandhi bollywoodromantic kedarnath 9.6
Tu Hi Re,armaanmalik shashaatirupati bollywooddance 2 9.0
Chhote Chhote Peg,navrajhans nehakakkar yoyohoneysingh bollywooddance sonuketitukisweety 9.1
Galti Se Mistake,amitmishra arijitsingh bollywooddance jaggajasoos 8.5
Phir Mulaaqat,jubinnautiyal bollywoodromantic cheatindia 9.5
Kala Chashma,amararshi badshah nehakakkar bollywooddance baarbaardekho 8.5
Mantoiyat,raftaar bollywood manto 9.7
Nashe Si Chadh Gayi,arijitsingh bollywooddance befikre 8.9
Mera Pyar Tera Pyar,arijitsingh bollywoodromanticsad jalebi 9.6
Ding Dang,amitmishra antaramitra bollywooddance munnamichael 8.5
Main Tera Boyfriend,arijitsingh meetbros nehakakkar bollywooddance raabta 9.1
Laila Main Laila,pawnipandey bollywooddance raees 8.7
Ghoomar,shreyaghoshal swaroopkhan bollywooddance padmaavat 8.6
Rafta Rafta Medley,akashojha dishasharma jordipatel rekha sonakshisinha vishalmishra bollywooddance yamlapagladeewanaphirse 9.3
Pal,arijitsingh shreyaghoshal bollywoodromantic jalebi 9.7
Patola,gururandhawa bollywooddance blackmail 8.9
Pallo Latke,fazilpuria jyoticatangri yasserdesai bollywooddance shaadimeinzarooraana 9.0
Main Badhiya Tu Bhi Badhiya,sonunigam sunidhichauhan bollywood sanju 9.0
Billionaire,simarkaur singhsta yoyohoneysingh bollywooddance baazaar 9.3
This Party Is Over Now,yoyohoneysingh bollywooddance mitron 9.3
Heer Badnaam,romy bollywooddancesad zero 9.1
Tera Hua,atifaslam bollywoodromantic loveratri 9.0
Jaan Nisaar,arijitsingh bollywoodromantic kedarnath 9.7
Akh Lad Jaaye,aseeskaur badshah jubinnautiyal bollywooddanceromantic loveratri 9.2
Rangtaari,devnegi yoyohoneysingh bollywooddance loveratri 9.1
The Humma Song,badshah jubinnautiyal shashaatirupati bollywooddance okjaanu 9.0
Pehli Baar,ajaygogavale bollywoodromantic dhadak 8.9
Tera Yaar Hoon Main,arijitsingh bollywoodromanticsad sonuketitukisweety 9.5
Dilbaro,harshdeepkaur shankarmahadevan vibhasaraf bollywood raazi 9.5
Chhod Diya,arijitsingh bollywoodsad baazaar 9.7
Maine Tujhko Dekha,neerajshridhar sukritikakar bollywooddance golmaalagain 9.0
Allah Duhai Hai,amitmishra jonitagandhi sreeramachandra bollywooddance race3 8.1
Cham Cham,monalithakur bollywooddance baaghi 8.1
Kar Har Maidaan Fateh,shreyaghoshal sukhwindersingh bollywoodmotivational sanju 9.5
Kamariya,aasthagill divyakumar jigarsaraiya sachinsanghvi bollywooddance stree 9.1
Tamma Tamma Again,anuradhapaudwal badshah bappilahiri bollywooddance badrinathkidulhania 8.6
Tera Fitoor,arijitsingh bollywoodromantic genius 9.4
Mere Rashke Qamar,nusratfatehalikhan rahatfatehalikhan bollywoodromantic baadshaho 9.0
The Breakup Song,arijitsingh badshah jonitagandhi nakashaziz bollywooddance aedilhaimushkil 9.0
Naino Ne Bandhi,yasserdesai bollywoodromantic gold 9.6
Sanu Ek Pal Chain,rahatfatehalikhan bollywoodromantic raid 9.3
Ban Ja Rani,gururandhawa bollywooddanceromantic tumharisulu 9.0
Zaalima,arijitsingh harshdeepkaur bollywooddanceromantic raees 9.2
Baarish,ashking shashaatirupati bollywoodromantic halfgirlfriend 9.3
Aashiq Banaya Aapne,himeshreshammiya nehakakkar bollywooddance hatestory4 9.1
Ek Do Teen Song,shreyaghoshal bollywooddance baaghi2 8.6
Tere Liye,akankshabhandari atifaslam bollywoodromantic namasteengland 9.5
Nazam Nazam,arko ayushmankhurana bollywoodromance bareillykibarfi 9.5
Good Morning,shannondonald vishaldadlani bollywood ekladkikodekhatohaisalaga 9.0
O Saathi,atifaslam payaldev bollywoodromantic baaghi2 9.4
Tere Jaisa,arko tulsikumar bollywoodromantic satyamevajayate 9.2
Mera Intkam Dekhegi,krishnabeuraa bollywoodsad shaadimeinzarooraana 9.6
Gerua,antaramitra arijitsingh bollywoodromantic dilwale 9.3
Suraiyya,shreyaghoshal vishaldadlani bollywooddance thugsofhindostan 7.7
Gold Tamba,nakashaziz bollywooddance battigulmeterchalu 9.2
Ae Dil Hai Mushkil,arijitsingh bollywoodsad aedilhaimushkil 9.3
Prem Ratan Dhan Payo,palakmuchhal bollywooddanceromantic premratandhanpayo 7.7
Mohabbat,sunidhichauhan bollywooddance fanneykhan 9.0
Nainowale Ne,neetimohan bollywoodromantic padmaavat 9.5
Mummy Kasam,gurinderseagal payaldev bollywooddance nawabzaade 9.4
Nasha,amitgupta bollywoodsensual gamepaisaladki 9.0
Bulleya,amitmishra shilparao bollywooddancesad aedilhaimushkil 9.2
Kar Gayi Chull,badshah fazilpuria nehakakkar sukritikakar bollywooddance kapoor&sons 9.0
Musafir,atifaslam palakmuchhal bollywoodsad sweetieewedsnri 9.4
Binte Dil,arijitsingh bollywooddance padmaavat 9.4
Halka Halka,divyakumar sunidhichauhan bollywoodromantic fanneykhan 9.1
Humsafar,akhilsachdeva mansheelgujral bollywoodromanticsad badrinathkidulhania 9.3
Chad Gayi Hai,jigar sachinsanghvi vishaldadlani bollywooddance gold 9.2
Tum Mere Ho,amritasingh jubinnautiyal bollywoodsensual hatestory4 9.1
Bole Chudiyan,alkayagnik amitkumar kavitakrishnamurthy sonunigam uditnarayan bollywooddanceromantic kabhikhushikabhiegham 9.0
